arm,ema,ema_at_stop,seed,term,step,value
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,5000,7.269433
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,10000,1.315425
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,15000,0.808538
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,20000,0.845448
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,25000,0.570859
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,30000,0.475036
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,35000,0.338437
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,40000,0.552954
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,5000,0.549950
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,10000,0.049950
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,15000,0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,20000,0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,25000,0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,30000,0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,35000,0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,40000,0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,l_rep,5000,11.640609
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,l_rep,10000,11.668903
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,5000,0.866187
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,10000,0.731966
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,15000,0.807113
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,20000,0.843533
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,25000,0.569580
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,30000,0.473881
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,35000,0.337064
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,40000,0.552033
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,5000,0.453385
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,10000,0.405942
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,15000,0.505148
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,20000,0.520204
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,25000,0.398771
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,30000,0.305394
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,35000,0.214181
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,40000,0.330024
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,5000,7.221710
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,10000,1.488815
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,15000,0.969858
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,20000,0.702377
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,25000,0.592923
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,30000,0.464901
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,35000,0.482861
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,40000,0.471198
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,5000,0.549950
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,10000,0.049950
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,15000,0.000000
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,20000,0.000000
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,25000,0.000000
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,30000,0.000000
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,35000,0.000000
