cell,stop,branch,extend,heads_next
arm1_nse,40000,unconditional,1,student teacher
arm4_combab,40000,unconditional,1,student teacher
arm5_combab_alignS,40000,unconditional,1,student teacher
arm5_combab_alignT,40000,unconditional,1,student teacher
arm6_v2_combab_alignS,40000,unconditional,1,student teacher
arm6_v2_combab_alignT,40000,unconditional,1,student teacher
arm6_v2_ncpc_alignS,40000,unconditional,1,student teacher
arm6_v2_ncpc_alignS,100000,none_down,0,student teacher
arm6_v2_ncpc_alignT,40000,unconditional,1,student teacher
arm6_v2_nse_alignS,40000,unconditional,1,student teacher
arm6_v2_nse_alignT,40000,unconditional,1,student teacher
