label,subset,n,delta,ci_lo,ci_hi,p_improved
B1_vs_pub_bb40k_student,all,97,-0.1175,-0.1801,-0.0615,1.000
B1_vs_pub_bb40k_student,short,55,-0.0556,-0.1017,-0.0184,0.999
B1_vs_pub_bb40k_student,medium_long,42,-0.2244,-0.3504,-0.1243,1.000
B1_vs_pub_bb100k_student,all,97,-0.0736,-0.1287,-0.0255,1.000
B1_vs_pub_bb100k_student,short,55,-0.0396,-0.0889,0.0002,0.974
B1_vs_pub_bb100k_student,medium_long,42,-0.1314,-0.2285,-0.0531,1.000
B1_vs_pub_bb200k_student,all,97,-0.0643,-0.1230,-0.0130,0.995
B1_vs_pub_bb200k_student,short,55,-0.0391,-0.0950,0.0034,0.963
B1_vs_pub_bb200k_student,medium_long,42,-0.1064,-0.2091,-0.0196,0.992
B10_vs_pub_bb40k_student,all,97,-0.1122,-0.1996,-0.0340,0.997
B10_vs_pub_bb40k_student,short,55,0.0134,-0.0408,0.0752,0.321
B10_vs_pub_bb40k_student,medium_long,42,-0.3259,-0.5882,-0.1579,1.000
B10_vs_pub_bb100k_student,all,97,-0.1511,-0.2239,-0.0908,1.000
B10_vs_pub_bb100k_student,short,55,-0.0878,-0.1463,-0.0423,1.000
B10_vs_pub_bb100k_student,medium_long,42,-0.2557,-0.4531,-0.1292,1.000
B2_vs_pub_bb40k_student,all,97,0.1212,0.0690,0.1889,0.000
B2_vs_pub_bb40k_student,short,55,0.1748,0.1019,0.2631,0.000
B2_vs_pub_bb40k_student,medium_long,42,0.0431,0.0025,0.1076,0.017
B2_vs_pub_bb100k_student,all,97,0.0928,0.0541,0.1415,0.000
B2_vs_pub_bb100k_student,short,55,0.1444,0.0897,0.2094,0.000
B2_vs_pub_bb100k_student,medium_long,42,0.0145,-0.0132,0.0506,0.168
B2_vs_pub_bb200k_student,all,97,0.1054,0.0609,0.1621,0.000
B2_vs_pub_bb200k_student,short,55,0.1758,0.1063,0.2667,0.000
B2_vs_pub_bb200k_student,medium_long,42,-0.0085,-0.0584,0.0269,0.654
B3_vs_pub_bb40k_student,all,97,-0.1562,-0.2263,-0.0966,1.000
B3_vs_pub_bb40k_student,short,55,-0.0989,-0.1577,-0.0534,1.000
B3_vs_pub_bb40k_student,medium_long,42,-0.2540,-0.4137,-0.1423,1.000
B3_vs_pub_bb100k_student,all,97,-0.0780,-0.1265,-0.0365,1.000
B3_vs_pub_bb100k_student,short,55,-0.0543,-0.0933,-0.0213,1.000
B3_vs_pub_bb100k_student,medium_long,42,-0.1175,-0.2214,-0.0382,0.998
B4_vs_pub_bb40k_student,all,97,0.0606,0.0166,0.1147,0.002
B4_vs_pub_bb40k_student,short,55,0.1498,0.0838,0.2285,0.000
B4_vs_pub_bb40k_student,medium_long,42,-0.0802,-0.1724,-0.0201,0.999
B4_vs_pub_bb100k_student,all,97,-0.0874,-0.1607,-0.0155,0.992
B4_vs_pub_bb100k_student,short,55,0.0577,0.0056,0.1180,0.016
B4_vs_pub_bb100k_student,medium_long,42,-0.3341,-0.5452,-0.1830,1.000
B5_vs_pub_bb40k_student,all,97,0.0456,0.0145,0.0846,0.001
B5_vs_pub_bb40k_student,short,55,0.0737,0.0325,0.1253,0.000
B5_vs_pub_bb40k_student,medium_long,42,0.0005,-0.0345,0.0386,0.506
B5_vs_pub_bb100k_student,all,97,0.0164,-0.0256,0.0634,0.230
B5_vs_pub_bb100k_student,short,55,0.0610,0.0059,0.1250,0.014
B5_vs_pub_bb100k_student,medium_long,42,-0.0544,-0.1106,-0.0036,0.982
B6_vs_pub_bb40k_student,all,97,-0.1326,-0.1998,-0.0742,1.000
B6_vs_pub_bb40k_student,short,55,-0.0467,-0.0858,-0.0141,0.998
B6_vs_pub_bb40k_student,medium_long,42,-0.2802,-0.4633,-0.1547,1.000
B6_vs_pub_bb100k_student,all,97,-0.0826,-0.1356,-0.0321,0.999
B6_vs_pub_bb100k_student,short,55,-0.0332,-0.0805,0.0119,0.926
B6_vs_pub_bb100k_student,medium_long,42,-0.1648,-0.2635,-0.0790,1.000
B6_vs_pub_bb200k_student,all,97,-0.0804,-0.1287,-0.0340,1.000
B6_vs_pub_bb200k_student,short,55,-0.0082,-0.0384,0.0267,0.698
B6_vs_pub_bb200k_student,medium_long,42,-0.2028,-0.3237,-0.1131,1.000
B7_vs_pub_bb40k_student,all,97,-0.0542,-0.1016,-0.0147,0.998
B7_vs_pub_bb40k_student,short,55,-0.0597,-0.1128,-0.0134,0.993
B7_vs_pub_bb40k_student,medium_long,42,-0.0441,-0.1100,0.0056,0.958
B7_vs_pub_bb100k_student,all,97,0.0192,-0.0166,0.0601,0.151
B7_vs_pub_bb100k_student,short,55,0.0583,0.0150,0.1099,0.004
B7_vs_pub_bb100k_student,medium_long,42,-0.0428,-0.1015,0.0020,0.970
B8_vs_pub_bb40k_student,all,97,-0.0217,-0.0565,0.0140,0.884
B8_vs_pub_bb40k_student,short,55,0.0417,-0.0118,0.0995,0.061
B8_vs_pub_bb40k_student,medium_long,42,-0.1239,-0.2152,-0.0647,1.000
B8_vs_pub_bb100k_student,all,97,-0.0211,-0.0674,0.0292,0.799
B8_vs_pub_bb100k_student,short,55,0.0719,0.0172,0.1354,0.006
B8_vs_pub_bb100k_student,medium_long,42,-0.1689,-0.2712,-0.0906,1.000
B9_vs_pub_bb40k_student,all,97,-0.2788,-0.3543,-0.1978,1.000
B9_vs_pub_bb40k_student,short,55,-0.1733,-0.2467,-0.1037,1.000
B9_vs_pub_bb40k_student,medium_long,42,-0.4468,-0.5649,-0.3379,1.000
B9_vs_pub_bb100k_student,all,97,-0.1249,-0.1982,-0.0383,0.997
B9_vs_pub_bb100k_student,short,55,0.0320,-0.0485,0.1306,0.237
B9_vs_pub_bb100k_student,medium_long,42,-0.3846,-0.5396,-0.2671,1.000
