stop,split,name,n,gm_rel_mase
k32_bb100k_h30k_student,all,all,97,1.180296
k32_bb100k_h30k_student,term,short,55,1.051479
k32_bb100k_h30k_student,term,medium,21,1.390473
k32_bb100k_h30k_student,term,long,21,1.356034
k32_bb100k_h30k_student,term,medium_long,42,1.373146
k32_bb100k_h30k_student,domain,Econ/Fin,6,1.414572
k32_bb100k_h30k_student,domain,Energy,32,1.430884
k32_bb100k_h30k_student,domain,Healthcare,5,1.132497
k32_bb100k_h30k_student,domain,Nature,15,0.871721
k32_bb100k_h30k_student,domain,Sales,4,0.803359
k32_bb100k_h30k_student,domain,Transport,15,0.993020
k32_bb100k_h30k_student,domain,Web/CloudOps,20,1.280881
k32_bb200k_h30k_student,all,all,97,1.163679
k32_bb200k_h30k_student,term,short,55,1.037668
k32_bb200k_h30k_student,term,medium,21,1.363185
k32_bb200k_h30k_student,term,long,21,1.341136
k32_bb200k_h30k_student,term,medium_long,42,1.352116
k32_bb200k_h30k_student,domain,Econ/Fin,6,1.355749
k32_bb200k_h30k_student,domain,Energy,32,1.379139
k32_bb200k_h30k_student,domain,Healthcare,5,1.154717
k32_bb200k_h30k_student,domain,Nature,15,0.869074
k32_bb200k_h30k_student,domain,Sales,4,0.810454
k32_bb200k_h30k_student,domain,Transport,15,0.977781
k32_bb200k_h30k_student,domain,Web/CloudOps,20,1.293974
k32_bb40k_h30k_student,all,all,97,1.208169
k32_bb40k_h30k_student,term,short,55,1.077688
k32_bb40k_h30k_student,term,medium,21,1.431957
k32_bb40k_h30k_student,term,long,21,1.375058
k32_bb40k_h30k_student,term,medium_long,42,1.403219
k32_bb40k_h30k_student,domain,Econ/Fin,6,1.449936
k32_bb40k_h30k_student,domain,Energy,32,1.443560
k32_bb40k_h30k_student,domain,Healthcare,5,1.343169
k32_bb40k_h30k_student,domain,Nature,15,0.865938
k32_bb40k_h30k_student,domain,Sales,4,0.822837
k32_bb40k_h30k_student,domain,Transport,15,1.003597
k32_bb40k_h30k_student,domain,Web/CloudOps,20,1.334871
k32_ema30k_bb40k_h30k_student,all,all,97,1.238548
k32_ema30k_bb40k_h30k_student,term,short,55,1.143591
k32_ema30k_bb40k_h30k_student,term,medium,21,1.392851
k32_ema30k_bb40k_h30k_student,term,long,21,1.357221
k32_ema30k_bb40k_h30k_student,term,medium_long,42,1.374921
k32_ema30k_bb40k_h30k_student,domain,Econ/Fin,6,2.436745
k32_ema30k_bb40k_h30k_student,domain,Energy,32,1.403622
k32_ema30k_bb40k_h30k_student,domain,Healthcare,5,1.547714
k32_ema30k_bb40k_h30k_student,domain,Nature,15,0.871557
k32_ema30k_bb40k_h30k_student,domain,Sales,4,0.804149
k32_ema30k_bb40k_h30k_student,domain,Transport,15,0.990264
k32_ema30k_bb40k_h30k_student,domain,Web/CloudOps,20,1.313589
k8_bb100k_h100k_student,all,all,97,1.327045
k8_bb100k_h100k_student,term,short,55,1.237903
k8_bb100k_h100k_student,term,medium,21,1.472640
k8_bb100k_h100k_student,term,long,21,1.434723
k8_bb100k_h100k_student,term,medium_long,42,1.453558
k8_bb100k_h100k_student,domain,Econ/Fin,6,2.454438
k8_bb100k_h100k_student,domain,Energy,32,1.537525
k8_bb100k_h100k_student,domain,Healthcare,5,1.393861
k8_bb100k_h100k_student,domain,Nature,15,0.943932
k8_bb100k_h100k_student,domain,Sales,4,0.869192
k8_bb100k_h100k_student,domain,Transport,15,1.091711
k8_bb100k_h100k_student,domain,Web/CloudOps,20,1.400974
k8_bb100k_h30k_student,all,all,97,1.285712
k8_bb100k_h30k_student,term,short,55,1.179765
k8_bb100k_h30k_student,term,medium,21,1.454840
k8_bb100k_h30k_student,term,long,21,1.423276
k8_bb100k_h30k_student,term,medium_long,42,1.438971
k8_bb100k_h30k_student,domain,Econ/Fin,6,1.963208
k8_bb100k_h30k_student,domain,Energy,32,1.513289
k8_bb100k_h30k_student,domain,Healthcare,5,1.258738
k8_bb100k_h30k_student,domain,Nature,15,0.924378
k8_bb100k_h30k_student,domain,Sales,4,0.857744
k8_bb100k_h30k_student,domain,Transport,15,1.082815
k8_bb100k_h30k_student,domain,Web/CloudOps,20,1.385556
k8_bb200k_h30k_student,all,all,97,1.289801
k8_bb200k_h30k_student,term,short,55,1.191487
k8_bb200k_h30k_student,term,medium,21,1.467228
k8_bb200k_h30k_student,term,long,21,1.395501
k8_bb200k_h30k_student,term,medium_long,42,1.430915
k8_bb200k_h30k_student,domain,Econ/Fin,6,2.092351
k8_bb200k_h30k_student,domain,Energy,32,1.519028
k8_bb200k_h30k_student,domain,Healthcare,5,1.267986
k8_bb200k_h30k_student,domain,Nature,15,0.904663
k8_bb200k_h30k_student,domain,Sales,4,0.831282
k8_bb200k_h30k_student,domain,Transport,15,1.083721
k8_bb200k_h30k_student,domain,Web/CloudOps,20,1.399773
k8_bb40k_h30k_student,all,all,97,1.243277
k8_bb40k_h30k_student,term,short,55,1.108904
k8_bb40k_h30k_student,term,medium,21,1.464984
k8_bb40k_h30k_student,term,long,21,1.423642
k8_bb40k_h30k_student,term,medium_long,42,1.444165
k8_bb40k_h30k_student,domain,Econ/Fin,6,1.832951
k8_bb40k_h30k_student,domain,Energy,32,1.477133
k8_bb40k_h30k_student,domain,Healthcare,5,1.322633
k8_bb40k_h30k_student,domain,Nature,15,0.872535
k8_bb40k_h30k_student,domain,Sales,4,0.794805
k8_bb40k_h30k_student,domain,Transport,15,1.033314
k8_bb40k_h30k_student,domain,Web/CloudOps,20,1.355078
k8_bb40k_h40k_student,all,all,97,1.254317
k8_bb40k_h40k_student,term,short,55,1.120416
k8_bb40k_h40k_student,term,medium,21,1.476341
k8_bb40k_h40k_student,term,long,21,1.432300
k8_bb40k_h40k_student,term,medium_long,42,1.454154
k8_bb40k_h40k_student,domain,Econ/Fin,6,1.914415
k8_bb40k_h40k_student,domain,Energy,32,1.491405
k8_bb40k_h40k_student,domain,Healthcare,5,1.362562
k8_bb40k_h40k_student,domain,Nature,15,0.872287
k8_bb40k_h40k_student,domain,Sales,4,0.783669
k8_bb40k_h40k_student,domain,Transport,15,1.040556
k8_bb40k_h40k_student,domain,Web/CloudOps,20,1.361607
