step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,2.9177770614624023,5.642629623413086,2.69140625,6.1732940673828125,6.225309371948242
200,1,enc,3.196869134902954,5.923527240753174,2.537109375,7.286446571350098,7.032144069671631
200,2,enc,3.725708246231079,5.2996015548706055,2.033203125,8.421834945678711,8.188149452209473
200,0,fcst,2.503969430923462,5.392146110534668,2.654296875,9.109471321105957,11.202010154724121
200,1,fcst,2.9725444316864014,5.283774375915527,2.287109375,14.241602897644043,18.78078269958496
200,2,fcst,2.906824827194214,5.129673004150391,2.380859375,19.24765396118164,25.267818450927734
200,0,enc,2.9257261753082275,5.604517936706543,1.818359375,5.6506571769714355,5.603649139404297
200,1,enc,3.1742982864379883,6.0588059425354,1.7763671875,6.964754104614258,6.740999221801758
200,2,enc,3.6810762882232666,5.336014747619629,1.7939453125,7.605202674865723,6.854659557342529
400,0,enc,2.8329405784606934,6.032923221588135,3.369140625,5.5518646240234375,5.955465316772461
400,1,enc,3.4985363483428955,5.914779186248779,2.068359375,6.240108013153076,5.911723613739014
400,2,enc,4.63722038269043,5.084292888641357,2.787109375,7.3809733390808105,6.344845294952393
400,0,fcst,2.591620922088623,5.525485038757324,4.21875,7.985429763793945,10.41021728515625
400,1,fcst,3.0110952854156494,5.411181926727295,2.09375,12.031025886535645,19.45482635498047
400,2,fcst,2.88036847114563,6.012749671936035,1.94140625,20.791189193725586,27.983915328979492
400,0,enc,2.8412795066833496,6.040063858032227,1.767578125,5.6748881340026855,5.0083842277526855
400,1,enc,3.501173973083496,6.543073654174805,1.603515625,5.787065505981445,5.230424880981445
400,2,enc,4.606022357940674,5.3433756828308105,2.134765625,6.006478309631348,5.872415542602539
600,0,enc,2.7826766967773438,5.203417778015137,3.484375,5.137569427490234,5.102880477905273
600,1,enc,3.696223497390747,5.922761917114258,2.12109375,5.35965633392334,5.012166500091553
600,2,enc,5.476005554199219,5.007809162139893,2.84375,6.283454895019531,6.283454895019531
600,0,fcst,2.695251941680908,5.836761474609375,6.0,7.9348602294921875,11.859251976013184
600,1,fcst,3.2604165077209473,5.431051254272461,2.55859375,12.920522689819336,18.268836975097656
600,2,fcst,2.862196207046509,6.162891864776611,1.916015625,19.665475845336914,29.434207916259766
600,0,enc,2.8008310794830322,5.209404945373535,1.8896484375,4.968532562255859,4.355418682098389
600,1,enc,3.707073450088501,5.855699062347412,1.7734375,4.352203369140625,4.987895488739014
600,2,enc,5.448640823364258,5.338968753814697,2.244140625,5.216830253601074,4.768343925476074
800,0,enc,2.6881885528564453,5.508389472961426,2.943359375,4.999340534210205,4.413965225219727
800,1,enc,3.8776049613952637,6.047448635101318,2.375,5.194645404815674,4.711518287658691
800,2,enc,6.35598087310791,4.827357292175293,2.9375,5.326401710510254,5.073215961456299
800,0,fcst,2.809386730194092,5.432223320007324,6.71484375,6.753850936889648,10.839914321899414
800,1,fcst,3.4296863079071045,5.4720001220703125,2.771484375,12.985581398010254,19.094642639160156
800,2,fcst,2.827385187149048,5.5959038734436035,2.24609375,20.528783798217773,28.58338165283203
800,0,enc,2.683347225189209,5.554278373718262,1.994140625,4.532289505004883,3.846872091293335
800,1,enc,3.877786874771118,6.264500141143799,2.029296875,3.9432482719421387,3.538351058959961
800,2,enc,6.315359115600586,4.944063663482666,3.017578125,4.935035228729248,4.648756980895996
1000,0,enc,2.6120026111602783,4.8305253982543945,2.931640625,4.960725784301758,4.960725784301758
1000,1,enc,3.993879556655884,5.998691082000732,2.6875,4.3712310791015625,4.3712310791015625
1000,2,enc,7.348232746124268,4.837996482849121,3.353515625,4.627866268157959,4.609846115112305
1000,0,fcst,3.027305841445923,5.116138935089111,6.109375,5.370819091796875,10.005876541137695
1000,1,fcst,3.8022663593292236,5.144652843475342,2.404296875,11.6166353225708,17.217063903808594
1000,2,fcst,2.99578857421875,5.135708808898926,1.9072265625,19.16194725036621,25.47879409790039
1000,0,enc,2.6249303817749023,4.853726863861084,1.9873046875,4.817021369934082,4.197166442871094
1000,1,enc,4.053431510925293,5.899707317352295,2.1875,3.2886877059936523,3.263298511505127
1000,2,enc,7.30172872543335,4.810953140258789,2.603515625,4.698094367980957,3.843113899230957
1200,0,enc,2.581308364868164,4.633153915405273,2.88671875,4.915960311889648,4.113903999328613
1200,1,enc,4.144491195678711,5.706881046295166,2.458984375,4.034844875335693,4.2146501541137695
1200,2,enc,8.336272239685059,4.808933734893799,3.275390625,4.977980613708496,4.408318996429443
1200,0,fcst,3.3699588775634766,5.719158172607422,6.21875,5.539518356323242,11.448310852050781
1200,1,fcst,4.397411823272705,4.798295974731445,2.86328125,14.609373092651367,19.051647186279297
1200,2,fcst,3.2777822017669678,4.6568450927734375,1.74609375,19.823251724243164,25.083667755126953
1200,0,enc,2.583592653274536,4.6973652839660645,2.20703125,4.112211227416992,3.6529219150543213
1200,1,enc,4.168921947479248,5.485825061798096,2.0,3.7583041191101074,3.1639816761016846
1200,2,enc,8.292885780334473,4.7957916259765625,2.611328125,3.912043571472168,3.540949821472168
