step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,2.767728090286255,5.1336669921875,3.80859375,7.863203048706055,7.371511459350586
200,1,enc,2.6481549739837646,5.163224697113037,3.259765625,7.969725608825684,8.022283554077148
200,2,enc,2.6490187644958496,5.780611991882324,3.51953125,7.781033039093018,7.75972843170166
200,0,fcst,2.8622257709503174,4.853026866912842,1.82421875,10.352985382080078,12.581718444824219
200,1,fcst,3.023751974105835,5.272289752960205,1.99609375,13.748022079467773,15.868247985839844
200,2,fcst,3.014117956161499,5.971428394317627,1.953125,18.265518188476562,19.856229782104492
200,0,enc,2.7685513496398926,5.142405986785889,3.287109375,7.249472618103027,6.4131622314453125
200,1,enc,2.677626371383667,4.98586893081665,2.8359375,6.9244561195373535,7.0324883460998535
200,2,enc,2.626460313796997,5.739728927612305,3.3984375,7.898656368255615,7.706883907318115
400,0,enc,3.131369113922119,5.092367172241211,4.91796875,8.147710800170898,7.2138671875
400,1,enc,2.744947671890259,5.4146623611450195,4.5078125,8.387649536132812,8.837953567504883
400,2,enc,2.620657444000244,6.239099502563477,5.46484375,8.253668785095215,7.373537063598633
400,0,fcst,3.242950201034546,4.958653450012207,1.9482421875,10.502951622009277,12.885906219482422
400,1,fcst,3.5351221561431885,5.667819499969482,2.169921875,15.10288143157959,18.575103759765625
400,2,fcst,3.6813039779663086,5.281801700592041,1.9912109375,21.305736541748047,24.647750854492188
400,0,enc,3.1204068660736084,5.10430383682251,3.744140625,7.928259372711182,6.501021385192871
400,1,enc,2.739224672317505,5.381504058837891,4.16796875,7.579284191131592,7.998229503631592
400,2,enc,2.6263625621795654,6.3719940185546875,5.58203125,8.282132148742676,7.695706367492676
600,0,enc,3.5144593715667725,4.583334445953369,5.4765625,8.279430389404297,7.888053894042969
600,1,enc,3.027961492538452,5.094412803649902,5.5546875,7.733123779296875,7.592456817626953
600,2,enc,2.7635815143585205,5.874948501586914,7.43359375,8.340429306030273,7.775108337402344
600,0,fcst,3.8815932273864746,5.236804962158203,2.208984375,9.722615242004395,12.662118911743164
600,1,fcst,4.237739086151123,5.34357213973999,2.21484375,14.224281311035156,17.509872436523438
600,2,fcst,4.535328388214111,4.83668851852417,2.189453125,20.355789184570312,23.71858024597168
600,0,enc,3.5147883892059326,4.570605278015137,5.015625,7.807287216186523,6.569005966186523
600,1,enc,3.01841402053833,4.850795269012451,4.8515625,7.501197338104248,7.759986400604248
600,2,enc,2.7444944381713867,5.550952434539795,6.671875,8.059011459350586,8.106283187866211
800,0,enc,3.7442734241485596,4.410331726074219,5.33203125,8.003779411315918,8.003779411315918
800,1,enc,3.234058141708374,4.592802047729492,7.16796875,7.381543159484863,7.49876070022583
800,2,enc,3.0091171264648438,5.385715007781982,7.21875,7.7150468826293945,7.7150468826293945
800,0,fcst,4.5022077560424805,4.996537208557129,1.9775390625,9.210237503051758,13.13172435760498
800,1,fcst,5.039688587188721,4.922455787658691,2.66015625,15.139459609985352,19.20278549194336
800,2,fcst,5.408594608306885,4.818080902099609,2.26953125,22.04291343688965,27.06461524963379
800,0,enc,3.7395236492156982,4.369697570800781,4.76171875,7.404078483581543,6.006636619567871
800,1,enc,3.228102684020996,4.580461502075195,5.62890625,7.967776298522949,7.797766208648682
800,2,enc,2.9843239784240723,5.326922416687012,5.390625,8.267212867736816,7.795954704284668
200,0,enc,2.767728090286255,5.1336669921875,3.80859375,7.863203048706055,7.371511459350586
200,1,enc,2.6481549739837646,5.163224697113037,3.259765625,7.969725608825684,8.022283554077148
200,2,enc,2.6490187644958496,5.780611991882324,3.51953125,7.781033039093018,7.75972843170166
200,0,fcst,2.8622257709503174,4.853026866912842,1.82421875,10.352985382080078,12.581718444824219
200,1,fcst,3.023751974105835,5.272289752960205,1.99609375,13.748022079467773,15.868247985839844
200,2,fcst,3.014117956161499,5.971428394317627,1.953125,18.265518188476562,19.856229782104492
200,0,enc,2.7685513496398926,5.142405986785889,3.287109375,7.249472618103027,6.4131622314453125
200,1,enc,2.677626371383667,4.98586893081665,2.8359375,6.9244561195373535,7.0324883460998535
200,2,enc,2.626460313796997,5.739728927612305,3.3984375,7.898656368255615,7.706883907318115
1000,0,enc,3.749476671218872,4.056710243225098,5.0390625,7.8322296142578125,7.707798004150391
1000,1,enc,3.2673559188842773,4.2347612380981445,7.13671875,8.602190017700195,8.195215225219727
1000,2,enc,3.263500213623047,5.2094550132751465,6.53515625,8.915693283081055,8.07862377166748
1000,0,fcst,5.184764385223389,4.6323981285095215,1.9609375,10.601425170898438,12.65018081665039
1000,1,fcst,5.617152214050293,5.079366207122803,2.126953125,14.87664794921875,18.300682067871094
1000,2,fcst,6.139455795288086,5.216890335083008,2.38671875,20.92337417602539,24.74281883239746
1000,0,enc,3.7142128944396973,4.057918071746826,3.916015625,7.322078227996826,5.901179790496826
1000,1,enc,3.2878975868225098,4.538254261016846,5.1796875,7.553679466247559,7.357499122619629
1000,2,enc,3.2532076835632324,5.152133941650391,6.62109375,8.946606636047363,8.575757026672363
