k,step_k,label,score,eff_rank,pair_cos,time_eff_rank,time_pair_cos,dim_std,readout_r,top_dir_share,cos_err_d0,auc
0,20,k=0  step  20k,,6.464394059607318,0.05965784937143326,6.821211853757949,0.16600987315177917,0.16642040014266968,0.44117900268941246,0.14557596411013773,0.325824499130249,0.9426329731941223
0,40,393 parent  k=0  bb40k,,7.221456142772299,0.06531168520450592,7.248447214994745,0.17476308345794678,0.1695093959569931,0.10951758173872876,0.14038809419431503,0.32742804288864136,0.9573691487312317
0,40,379 B5pub   k=0  bb40k,,10.757096128671142,0.07939492166042328,6.605296387450427,0.4709045886993408,0.16505752503871918,0.209270226842662,0.10670103518960071,0.19283902645111084,
0,60,k=0  step  60k,,7.037636748240565,0.09308499097824097,7.138625809259433,0.1627691090106964,0.17827622592449188,0.27151626489844183,0.1513975894476538,0.33131909370422363,0.9585523009300232
0,80,k=0  step  80k,,6.614580277213503,0.09332846850156784,7.326133394063716,0.17694328725337982,0.18988949060440063,0.17766103191517624,0.14396678883921407,0.3220594525337219,0.961104691028595
0,100,k=0  step 100k,,6.609333979491115,0.10570315271615982,7.33273355500035,0.1941533088684082,0.19417107105255127,0.14531008303086534,0.13854305562631017,0.3101434111595154,0.962096631526947
8,20,k=8  step  20k,,1.2713391508938099,1.0,1.0003314208647733,0.9999998807907104,0.01667541265487671,0.13211668052846343,0.9981436699081735,0.0007529854774475098,0.49978622794151306
8,40,401 arm     k=8  bb40k,2.0357,1.000013319512766,1.0,1.044580656103712,1.0,0.3819938004016876,0.5423115083581147,0.9920633973243543,0.00015991926193237305,0.4998232424259186
8,60,k=8  step  60k,,1.0094835175986576,1.0,1.0000644317445686,0.9999998807907104,0.09834297001361847,0.22363095306823158,0.9998662989056226,0.000596165657043457,0.5000442266464233
8,80,k=8  step  80k,,1.0003971924672495,0.9999992847442627,1.0014410476141387,0.9999991655349731,0.2910280227661133,0.42654818338119194,0.9992813407519113,0.00011944770812988281,0.5001634359359741
8,100,401 arm     k=8  bb100k,7.9344,1.000221968458027,1.0,1.0002278258601298,0.9999991059303284,3.6947667598724365,0.42709080272778877,0.9998546702741561,0.00036919116973876953,0.4999743103981018
8,120,k=8  step 120k,,1.0001868132449452,0.9999998807907104,1.0008232000814081,0.9999998807907104,7.107983589172363,0.7154275733129518,0.9997251511680725,0.0003845095634460449,0.5000236630439758
8,140,k=8  step 140k,,1.0000522236905944,1.0,1.012500135735527,1.0,2.964226484298706,0.27367283452950175,0.9995228310092447,0.00027364492416381836,0.5000792145729065
8,160,k=8  step 160k,,1.0000001577080644,1.0,1.004092349549882,1.0,2.023113965988159,0.2401498352680602,0.9996511890067451,0.0003280043601989746,0.5000894665718079
8,180,k=8  step 180k,,1.0000189833599717,1.0,1.578825324783377,1.0,0.12018850445747375,0.5644013682551021,0.6996658479673863,0.0002722740173339844,0.5002919435501099
8,200,k=8  step 200k,2.4755,1.0000008239188267,1.0,1.0320627055936846,1.0,0.7267155051231384,0.6852726332077707,0.9967152026503537,0.0003539919853210449,0.49972042441368103
16,20,k=16 step  20k,,1.253628768070951,0.9999995827674866,1.3893973649247795,0.9999991059303284,0.13366475701332092,0.39078861828485706,0.8092749291342688,0.0015352368354797363,0.5005633234977722
16,40,401 arm     k=16 bb40k,4.5297,1.0149552670895698,0.9999984502792358,1.0445101261557994,0.9999977350234985,0.11779540032148361,0.29046982654934217,0.9873778303261654,2.7894973754882812e-05,0.500195324420929
16,60,k=16 step  60k,,1.0013765877952256,0.999997079372406,1.0024379651394093,0.999996542930603,0.12947380542755127,0.6056301369774748,0.9989202120546666,0.0008015632629394531,0.5006610155105591
16,80,k=16 step  80k,,1.1438179168511033,1.0,1.1937989826180735,1.0,0.026070311665534973,0.4066069040290976,0.9397314781437902,0.00022792816162109375,0.4998972415924072
16,100,k=16 step 100k,12.4827,1.9050950691899893,1.0,1.645672010007228,0.9999998807907104,0.05271756649017334,0.42306158951154815,0.5493338849139737,0.0002891421318054199,0.49993422627449036
16,120,k=16 step 120k,,1.0382765310642597,0.9999997019767761,1.1839395900453047,0.9999997019767761,0.11415595561265945,0.2540785340825994,0.9798896951214544,9.638071060180664e-05,0.5000730156898499
16,140,k=16 step 140k,,1.0051532356292643,0.9999579787254333,1.0120297602500616,0.9999212622642517,0.8458751440048218,0.4053798568396319,0.9894393655503656,0.007565140724182129,0.5001778602600098
16,160,k=16 step 160k,,1.0212514856299078,0.9999983906745911,1.125701193991797,0.9999985694885254,0.08290012925863266,0.26134659522066694,0.9734724722356812,1.8715858459472656e-05,0.5000812411308289
16,180,k=16 step 180k,,1.0024785104280365,1.0,1.0028898973948244,1.0,0.9416154623031616,0.667418772716554,0.9989882373672774,8.118152618408203e-05,0.5001182556152344
16,200,k=16 step 200k,2.9331,1.0002610776388947,1.0,1.007801465243555,1.0,1.4302029609680176,0.6052342619671687,0.9992339399983593,5.334615707397461e-05,0.499965101480484
32,20,k=32 step  20k,,1.36319842120548,1.0,1.6430091489093381,0.9999998807907104,0.03640429675579071,0.14941345790260321,0.6434877624004545,0.001983940601348877,0.499907523393631
32,40,k=32 step  40k,7.9575,1.193568024308118,1.0,1.1269184611699266,1.0,0.030069781467318535,0.45402565987832866,0.8870047108324454,0.00016486644744873047,0.4999640882015228
32,60,k=32 step  60k,,1.1400845815873981,1.0,1.312894257940486,1.0,0.03129157796502113,0.707941289755421,0.8992901269025941,9.119510650634766e-06,0.5001161694526672
32,80,k=32 step  80k,,1.0268197812631696,0.9999979734420776,1.0099513277049792,0.9999927282333374,0.31264299154281616,0.6078940239978352,0.9948557130670601,8.618831634521484e-05,0.5002385377883911
32,100,k=32 step 100k,1.7939,1.5695682036463976,0.9999977350234985,1.441575345851789,0.9999967217445374,0.19706812500953674,0.7050766040257298,0.783076385295413,4.565715789794922e-05,0.5002375245094299
32,120,k=32 step 120k,,1.0012689046566154,0.9999952912330627,1.0047597712623793,0.9999939799308777,0.21984286606311798,0.580477421147239,0.9981129754608217,4.649162292480469e-06,0.5003073811531067
32,140,k=32 step 140k,,1.080761281108576,0.999999463558197,1.2093901489376395,0.9999983906745911,0.07858364284038544,0.610118693454538,0.9447335397636231,0.0020589828491210938,0.500075101852417
