label,k,stop_k,step_k,pair_cos,dim_std,eff_rank,cos_err_d0,n_series,H,checkpoint
393 parent  k=0  bb40k,0,40,40,0.06531168520450592,0.1695093959569931,7.221456142772299,0.32742804288864136,21,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_40k.pth
379 B5pub   k=0  bb40k,0,40,40,0.07939492166042328,0.16505752503871918,10.757096128671142,0.19283902645111084,21,64,/home/jupyter/checkpoints_backup/cf-379/runs/bb_small_arm4_combab_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_40k.pth
401 arm     k=8  bb40k,8,40,40,1.0,0.3819938004016876,1.000013319512766,0.00015991926193237305,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_40k.pth
401 arm     k=8  bb100k,8,100,100,1.0,3.6947667598724365,1.000221968458027,0.00036919116973876953,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_100k.pth
401 arm     k=16 bb40k,16,40,40,0.9999984502792358,0.11779540032148361,1.0149552670895698,2.7894973754882812e-05,21,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_40k.pth
k=0  step  20k,0,40,20,0.05965784937143326,0.16642040014266968,6.464394059607318,0.325824499130249,21,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_20k.pth
k=0  step  60k,0,100,60,0.09308499097824097,0.17827622592449188,7.037636748240565,0.33131909370422363,21,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_60k.pth
k=0  step  80k,0,100,80,0.09332846850156784,0.18988949060440063,6.614580277213503,0.3220594525337219,21,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_80k.pth
k=0  step 100k,0,100,100,0.10570315271615982,0.19417107105255127,6.609333979491115,0.3101434111595154,21,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_100k.pth
k=8  step  20k,8,40,20,1.0,0.01667541265487671,1.2713391508938099,0.0007529854774475098,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_20k.pth
k=8  step  60k,8,100,60,1.0,0.09834297001361847,1.0094835175986576,0.000596165657043457,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_60k.pth
k=8  step  80k,8,100,80,0.9999992847442627,0.2910280227661133,1.0003971924672495,0.00011944770812988281,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_80k.pth
k=8  step 120k,8,200,120,0.9999998807907104,7.107983589172363,1.0001868132449452,0.0003845095634460449,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_120k.pth
k=8  step 140k,8,200,140,1.0,2.964226484298706,1.0000522236905944,0.00027364492416381836,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_140k.pth
k=8  step 160k,8,200,160,1.0,2.023113965988159,1.0000001577080644,0.0003280043601989746,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_160k.pth
k=8  step 180k,8,200,180,1.0,0.12018850445747375,1.0000189833599717,0.0002722740173339844,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_180k.pth
